,#effective,C_prob,init_01111,init_11110,init_11100,init_00101,init_01011,init_10111,init_11111,init_11101,init_11011,init_10110,init_01101,init_11010,init_10101,init_01010,init_10100,init_01000,init_10000,init_00000,init_00001,init_00011,init_00111,init_11000,init_01110,init_01100,init_00110,init_01001,init_10011,init_00010,init_11001,init_10010,init_00100,init_10001
0,0,0.125,0.11834319526627218,0.1891025641025641,0.24850299401197604,0.23597678916827852,0.19727272727272727,0.16489874638379942,0.084962673302524,0.17153628652214892,0.15583075335397317,0.22666666666666666,0.2238648363252376,0.23099133782483156,0.19667013527575442,0.25690021231422505,0.26720647773279355,0.31227038941954444,0.3177725908636212,0.34943314179220375,0.290633608815427,0.21407274895646988,0.20222045995241872,0.29375696767001114,0.24314765694076038,0.2768361581920904,0.2663582286847323,0.2517531556802244,0.20435967302452315,0.2968236582694414,0.22082283795130142,0.27356624917600525,0.3149171270718232,0.2446043165467626
1,1,0.375,0.3060016906170752,0.3629807692307692,0.38622754491017963,0.39974210186976145,0.4063636363636364,0.3162970106075217,0.2118734447209385,0.34495758718190384,0.3323013415892673,0.4,0.3368532206969377,0.39557266602502406,0.4172736732570239,0.4041047416843595,0.4008097165991903,0.4136664217487142,0.40780260086695563,0.40192576487032144,0.39118457300275483,0.39117471675611215,0.34179222839016654,0.39910813823857305,0.38992042440318303,0.3860640301318268,0.3833443489755453,0.4011220196353436,0.38873751135331513,0.41109894121942314,0.3795130142737196,0.36980883322346736,0.41178637200736645,0.4028776978417266
2,2,0.375,0.32290786136939986,0.2932692307692308,0.280688622754491,0.27337201805286915,0.2718181818181818,0.3037608486017358,0.2673302523995734,0.3006597549481621,0.28895768833849333,0.2761904761904762,0.3125659978880676,0.2925890279114533,0.2924037460978147,0.27105449398443027,0.26113360323886636,0.21822189566495226,0.22207402467489162,0.20018636434228915,0.24621212121212122,0.2760882528324389,0.2973830293417922,0.23968784838350055,0.26525198938992045,0.2542372881355932,0.2676801057501652,0.2643758765778401,0.28792007266121705,0.22635998539613,0.30142737195633923,0.2781806196440343,0.2154696132596685,0.2642249836494441
3,3,0.125,0.25274725274725274,0.1546474358974359,0.0845808383233533,0.09090909090909091,0.12454545454545454,0.21504339440694312,0.4358336295769641,0.1828463713477851,0.22291021671826625,0.09714285714285714,0.12671594508975711,0.08084696823869104,0.09365244536940687,0.06794055201698514,0.0708502024291498,0.055841293166789124,0.05235078359453151,0.04845472899518559,0.07196969696969698,0.11866428145497913,0.1586042823156225,0.06744704570791528,0.10167992926613616,0.08286252354048965,0.08261731658955718,0.08274894810659186,0.11898274296094459,0.06571741511500548,0.0982367758186398,0.07844429795649308,0.0578268876611418,0.08829300196206671
