,#effective,C_prob,init_0111,init_1111,init_1110,init_1100,init_1011,init_1101,init_0110,init_1010,init_0101,init_0100,init_1001,init_0011,init_1000,init_0000,init_0001,init_0010
0,0,0.125,0.1682552838789888,0.08788282290279627,0.20289272800321415,0.2590401051939514,0.1718679330619629,0.19335205992509363,0.2496194824961948,0.2495961227786753,0.21208530805687204,0.2904003859141341,0.22842261904761904,0.21301564722617355,0.2954140694568121,0.3217410565954148,0.26554315645638804,0.2857479943369514
1,1,0.375,0.3269788644840448,0.2241455836662228,0.3712334270791482,0.3856015779092702,0.36680235187697874,0.33614232209737827,0.3888888888888889,0.3901453957996769,0.396129541864139,0.40955137481910275,0.39992559523809523,0.38015647226173543,0.41674087266251114,0.40691106434821134,0.39763151901616944,0.39263803680981596
2,2,0.375,0.3087443016991297,0.2829560585885486,0.28766572920851746,0.267258382642998,0.28900949796472186,0.31320224719101125,0.2713089802130898,0.2778675282714055,0.29344391785150076,0.2375783888084901,0.27641369047619047,0.2798719772403983,0.22840605520926088,0.21984715915383762,0.2541562286495104,0.25153374233128833
3,3,0.125,0.19602154993783671,0.4050155348424323,0.13820811570912012,0.0880999342537804,0.1723202170963365,0.15730337078651685,0.09018264840182648,0.08239095315024232,0.09834123222748815,0.06246985045827303,0.09523809523809523,0.12695590327169273,0.05943900267141585,0.051500719902536275,0.08266909587793213,0.07008022652194432
