,#effective,C_prob,init_0111,init_0010,init_0101,init_1011,init_1111,init_1110,init_1101,init_0110,init_1010,init_0100,init_1000,init_0000,init_0001,init_0011,init_1100,init_1001
0,0,0.015625,0.04696132596685083,0.09937888198757763,0.06626763574176998,0.05005107252298264,0.023760330578512397,0.06162211146352515,0.053983228511530396,0.07346767422334173,0.07702349869451697,0.10458715596330276,0.10410170304629407,0.11874105865522175,0.09364218827008379,0.06324720401079831,0.07983811626195732,0.06887862242755145
1,1,0.09375,0.14825046040515652,0.23317805383022774,0.1881145788798632,0.17058222676200205,0.09039256198347108,0.1780697779791572,0.15461215932914046,0.20403022670025187,0.2019147084421236,0.23722149410222804,0.23602782441832576,0.26812112541726274,0.21636274026614094,0.17392981102969532,0.199411331861663,0.20369592608147838
2,2,0.234375,0.21408839779005523,0.26811594202898553,0.27191107310816587,0.2175689479060266,0.15237603305785127,0.2351608518350702,0.25471698113207547,0.2720403022670025,0.2724107919930374,0.2783748361730013,0.2770448548812665,0.273724368144969,0.26195170034499754,0.2657153875819514,0.28660779985283297,0.2717345653086939
3,3,0.3125,0.2352670349907919,0.22463768115942032,0.23300555793073963,0.23748723186925433,0.18930785123966942,0.23969188944268235,0.2311320754716981,0.23677581863979852,0.24107919930374236,0.22018348623853212,0.2074838090669225,0.19873628993800663,0.22991621488417938,0.235634400308523,0.21670345842531274,0.22973540529189418
4,4,0.234375,0.171731123388582,0.1218944099378882,0.14792646430098336,0.16700715015321754,0.17639462809917356,0.1653828726778432,0.16561844863731656,0.13937867338371118,0.13533507397737163,0.11114023591087811,0.11897337491005036,0.10026227944682878,0.13060620995564318,0.14731970690320095,0.13612950699043416,0.13523729525409492
5,5,0.09375,0.10313075506445674,0.04296066252587992,0.06926036767849508,0.0965270684371808,0.16451446280991736,0.07974626189397371,0.09014675052410902,0.0579345088161209,0.05657093124456049,0.03905635648754915,0.04605420964260015,0.03314258464473056,0.050271069492360765,0.07481681450057848,0.06475349521707138,0.06425871482570349
6,6,0.015625,0.08057090239410682,0.009834368530020704,0.0235143223599829,0.06077630234933606,0.20325413223140495,0.04032623470774807,0.04979035639412998,0.0163727959697733,0.015665796344647518,0.00943643512450852,0.010314224034540657,0.007272293752980448,0.01724987678659438,0.039336675665252605,0.016556291390728478,0.02645947081058379
