,#effective,C_prob,init_00101,init_01011,init_10111,init_01111,init_11111,init_11110,init_11101,init_11011,init_10110,init_01101,init_11010,init_10101,init_01010,init_10100,init_01000,init_10000,init_00000,init_00001,init_00011,init_00111,init_11100,init_11000,init_01110,init_01100,init_00110,init_11001,init_10011,init_10001,init_10010,init_00100,init_00010,init_01001
0,0,0.0625,0.16180555555555556,0.12318137730358875,0.09766022380467955,0.08828671328671328,0.04318100035984167,0.11858704793944491,0.10286844708209693,0.10091743119266056,0.1359691417550627,0.134185303514377,0.15510204081632653,0.13900862068965517,0.16716196136701336,0.1910192444761226,0.21137254901960784,0.21992002908033442,0.24142135516460547,0.19687964338781574,0.150625,0.13486842105263158,0.16456692913385826,0.18973747016706444,0.15555555555555556,0.17137229152987524,0.1753155680224404,0.15364583333333334,0.11708253358925144,0.15514905149051492,0.17265193370165746,0.20798734677738237,0.20789370847987496,0.16432272390821615
1,1,0.25,0.31527777777777777,0.31522793404461685,0.2268565615462869,0.20804195804195802,0.14429650953580425,0.26997476871320436,0.24530168150346193,0.24260958205912336,0.33365477338476374,0.2843450479233227,0.3020408163265306,0.30064655172413796,0.3439821693907875,0.33998574483250177,0.367843137254902,0.3584151217739004,0.3760668873018638,0.33320950965824664,0.284375,0.2730263157894737,0.3244094488188976,0.33591885441527447,0.29907407407407405,0.3302692055154301,0.3281907433380084,0.2838541666666667,0.31285988483685223,0.3482384823848239,0.3549723756906077,0.36496638987742186,0.3454474404064088,0.31976313841598814
2,2,0.375,0.31388888888888883,0.31037827352085356,0.29298067141403866,0.2945804195804196,0.2133861101115509,0.31539108494533225,0.32245301681503463,0.29969418960244654,0.29218900675024106,0.32268370607028757,0.31734693877551023,0.32866379310344834,0.3031203566121843,0.285816108339273,0.27450980392156865,0.2708106143220647,0.2541369099460024,0.2763744427934621,0.3225,0.2993421052631579,0.2889763779527559,0.30250596658711215,0.3083333333333333,0.3112278397898883,0.2917251051893408,0.3307291666666667,0.2946257197696737,0.2892953929539296,0.2879834254143646,0.28351126927639386,0.29386479093395856,0.3175425610658771
3,3,0.25,0.16527777777777777,0.17749757516973813,0.21566632756866735,0.2194055944055944,0.23857502698812522,0.20269133725820018,0.19980217606330364,0.21202854230377166,0.17839922854387658,0.17252396166134187,0.17959183673469387,0.17349137931034483,0.15081723625557208,0.1468282252316465,0.1219607843137255,0.12213740458015267,0.10625326598153634,0.15304606240713223,0.18375,0.19654605263157893,0.17559055118110237,0.13126491646778043,0.18611111111111112,0.15233092580433355,0.16339410939691446,0.1736111111111111,0.20345489443378117,0.15989159891598914,0.1505524861878453,0.1166468960063266,0.12270418132082844,0.153960029607698
4,4,0.0625,0.04375,0.07371483996120272,0.16683621566632756,0.1896853146853147,0.36056135300467795,0.09335576114381834,0.12957467853610286,0.14475025484199797,0.05978784956605593,0.08626198083067092,0.04591836734693878,0.05818965517241379,0.034918276374442794,0.036350677120456164,0.02431372549019608,0.028716830243547802,0.022121581605991987,0.04049034175334324,0.05875,0.0962171052631579,0.046456692913385826,0.0405727923627685,0.05092592592592592,0.03479973736047275,0.04137447405329593,0.058159722222222224,0.07197696737044146,0.04742547425474255,0.03383977900552486,0.026888098062475288,0.03008987885892927,0.04441154700222058
