,#effective,C_prob,init_011,init_111,init_001,init_010,init_101,init_110,init_100,init_000
0,0,0.03125,0.0907563025210084,0.04938650306748466,0.12093758987633017,0.12668262040083758,0.09285399205999118,0.1031454248366013,0.13180596803846698,0.16201819930457942
1,1,0.15625,0.22205882352941178,0.14171779141104296,0.26761576071325854,0.28103499850433744,0.23114247904719895,0.2506127450980392,0.28171404327535,0.3069468077236073
2,2,0.3125,0.2752100840336134,0.21441717791411044,0.29666379062410125,0.29180376906969785,0.28892809880899867,0.2943218954248366,0.29529062367416203,0.2854923429755123
3,3,0.3125,0.2184873949579832,0.2147239263803681,0.1967213114754098,0.19892312294346398,0.2223202470224967,0.2136437908496732,0.19855748833262624,0.1669749204705186
4,4,0.15625,0.128781512605042,0.17377300613496935,0.08843830888697153,0.08016751420879449,0.11468901632112924,0.09640522875816994,0.0736812332060529,0.06317969963749354
5,5,0.03125,0.06470588235294118,0.20598159509202454,0.029623238423928673,0.02138797487286868,0.05006616674018527,0.041870915032679736,0.01895064347334182,0.015388029888288822
