,#effective,C_prob,init_011,init_111,init_110,init_001,init_010,init_101,init_100,init_000
0,0,0.0625,0.1309477756286267,0.07342911043389928,0.14693724163848176,0.17046527309507756,0.18210182952772655,0.13650529815084148,0.1833864118895966,0.21927403948206325
1,1,0.25,0.28123791102514506,0.19895515890291685,0.31397970687711385,0.32973701955495616,0.3376825982130195,0.2969042177436111,0.3462048832271762,0.36326328451142714
2,2,0.375,0.3021276595744681,0.25700188651864747,0.29988726042841035,0.29534726904922454,0.301375691391292,0.31539580303345105,0.29644373673036095,0.2731904054340904
3,3,0.25,0.19187620889748547,0.23595994775794513,0.17493423524990603,0.15509103169251517,0.14281662175577933,0.1705796800332433,0.13906581740976645,0.11717257482487795
4,4,0.0625,0.09381044487427466,0.2346538963865912,0.06426155580608793,0.04935940660822657,0.03602325911218267,0.0806150010388531,0.03489915074309979,0.027099695747541216
