,#effective,C_prob,init_01,init_00,init_10,init_11
0,0,0.00390625,0.0349507343372374,0.050701530612244895,0.03786129836550005,0.019448045934432303
1,1,0.03125,0.11303216211191672,0.16060799319727892,0.12392649367439283,0.07343952583811818
2,2,0.109375,0.19427402862985685,0.2231611394557823,0.1968787515006003,0.13928505278755327
3,3,0.21875,0.22652909462725418,0.22571215986394563,0.22956875057715398,0.1811446564178551
4,4,0.2734375,0.1914854062093326,0.1764987244897959,0.18829070089574287,0.18049638822004072
5,5,0.21875,0.12725413645659045,0.10049957482993198,0.12328008126327455,0.15058344137803292
6,6,0.109375,0.06683398401189812,0.042676445578231297,0.06067042201495983,0.10335247268012596
7,7,0.03125,0.02974530581892545,0.014668367346938776,0.028626835349524427,0.07992220781626228
8,8,0.00390625,0.015895147796988286,0.00547406462585034,0.010896666358851233,0.07232820892757919
