,#effective,C_prob,init_001,init_010,init_101,init_011,init_111,init_110,init_100,init_000
0,0,0.00390625,0.0411366264662151,0.04599895851414685,0.028282828282828285,0.03135970044465247,0.013881748071979434,0.033440959409594094,0.044484275704741734,0.0575
1,1,0.03125,0.13266149017016354,0.1338309321298386,0.09191919191919191,0.0901006318745612,0.054327335047129395,0.10424354243542436,0.14453315952419749,0.1725862068965517
2,2,0.109375,0.20105732694531636,0.2128102759937511,0.1911616161616162,0.1776269599812778,0.11516709511568121,0.19211254612546122,0.20759328662212806,0.2389655172413793
3,3,0.21875,0.23327275731042452,0.23520222183648679,0.22803030303030292,0.21600748888368823,0.16109682947729215,0.23201107011070113,0.22991689750692518,0.21431034482758615
4,4,0.2734375,0.18552783743598203,0.185558062836313,0.18358585858585857,0.19237069974256946,0.16606683804627245,0.18519372693726935,0.18836565096952906,0.1664655172413793
5,5,0.21875,0.11614075664959528,0.1046693282416247,0.13661616161616166,0.13784226538731573,0.15167095115681228,0.1342250922509225,0.11080332409972303,0.09103448275862072
6,6,0.109375,0.0550140426234925,0.053289359486200324,0.07954545454545456,0.07933536157266556,0.11619537275064266,0.06918819188191881,0.049209711585465214,0.04051724137931034
7,7,0.03125,0.02246819758797291,0.022218364867210554,0.039141414141414144,0.046103440205944306,0.1141388174807198,0.031826568265682656,0.01808701319863125,0.014482758620689654
8,8,0.00390625,0.012720964810837601,0.006422496094428051,0.021717171717171718,0.029253451907325066,0.10745501285347044,0.01775830258302583,0.007006680788658954,0.004137931034482759
