,#effective,C_prob,init_01,init_11,init_10,init_00
0,0,0.03125,0.10378297660527626,0.06489529012498965,0.11292181069958848,0.14328301708228836
1,1,0.15625,0.2498755599800896,0.17697210495819882,0.26353909465020575,0.2955567122509819
2,2,0.3125,0.2939273270283723,0.24211571889744224,0.29555555555555557,0.29267023139166237
3,3,0.3125,0.21337315413970465,0.2210909692906216,0.20897119341563786,0.17952964557800596
4,4,0.15625,0.10079641612742658,0.14998758380928728,0.08987654320987654,0.07192542469124119
5,5,0.03125,0.03824456611913058,0.14493833291946032,0.029135802469135802,0.017034969005820282
