,#effective,C_prob,init_0111,init_1111,init_0010,init_0101,init_1011,init_1110,init_1101,init_0110,init_1010,init_0100,init_1000,init_0000,init_0001,init_0011,init_1100,init_1001
0,0,0.03125,0.07084837545126353,0.03723932472691162,0.13517626172964747,0.09018456375838926,0.06869479882237488,0.09090909090909091,0.07912200102092905,0.11294876966518758,0.10900473933649289,0.14311641171895256,0.14523018509729474,0.16056767534600047,0.1287512100677638,0.10232027386839103,0.11614730878186968,0.10579651398459668
1,1,0.15625,0.1832129963898917,0.11817279046673286,0.28937357342125286,0.24370805369127518,0.2124631992149166,0.23015521064301553,0.20571720265441554,0.2573618394513917,0.2679879362343817,0.29634430904848325,0.2925961082107261,0.31914144968332164,0.2671829622458858,0.23507036896158234,0.2588526912181303,0.2630725577624645
2,2,0.3125,0.2509025270758123,0.20183714001986097,0.2906416434187167,0.3091442953020135,0.2576054955839058,0.2740576496674058,0.2838182746299132,0.29608713190802743,0.2934080137871607,0.29064039408867,0.2880873279544376,0.28313394323246543,0.28654404646660214,0.27805249144161276,0.29284702549575076,0.294284556141062
3,3,0.3125,0.24007220216606498,0.2092850049652433,0.1874207456251585,0.20889261744966445,0.22767419038272815,0.22926829268292687,0.22868810617662072,0.21581282775312624,0.21413183972425678,0.1856365050557428,0.18130042714760325,0.1624442880600516,0.20208131655372702,0.2190947128185622,0.21671388101983002,0.20713417105796514
4,4,0.15625,0.14891696750902528,0.1971201588877855,0.0788739538422521,0.11283557046979867,0.1560353287536801,0.11618625277161862,0.1316998468606432,0.08592174263816055,0.08918569582076691,0.06896551724137931,0.07475083056478406,0.06005160684963641,0.08857696030977734,0.1114492202358311,0.09171388101983002,0.09728415079043373
5,5,0.03125,0.10604693140794223,0.23634558093346575,0.018513821962972354,0.03523489932885906,0.0775269872423945,0.05942350332594235,0.0709545686574783,0.0318676885841065,0.026281775096940973,0.015296862846772103,0.018035121025154248,0.014661036828524513,0.02686350435624395,0.05401293267402054,0.023725212464589234,0.032428050263477906
