,#effective,C_prob,init_0010,init_0101,init_1011,init_0111,init_1111,init_1110,init_1101,init_0110,init_1010,init_0100,init_1000,init_0000,init_0001,init_0011,init_1100,init_1001
0,0,0.0078125,0.06545153272576636,0.04254366323331841,0.031512605042016806,0.031828978622327794,0.01683937823834197,0.03665893271461717,0.03355335533553355,0.05934065934065934,0.05187586845761927,0.06893617021276596,0.06431695394906098,0.08144037170882809,0.06538865546218488,0.046521035598705504,0.05386949924127466,0.04645048203330412
1,1,0.0546875,0.18088925711129522,0.14240931482310792,0.11397058823529413,0.10546318289786222,0.05803108808290155,0.12436194895591647,0.11441144114411442,0.14505494505494507,0.14867994441871235,0.19063829787234043,0.20144069976845896,0.21399070727929792,0.16859243697478993,0.13349514563106796,0.15364188163884676,0.15293602103418052
2,2,0.1640625,0.24910245788456223,0.22615315718763992,0.19012605042016806,0.1767220902612827,0.11632124352331606,0.21252900232018557,0.2040704070407041,0.23736263736263735,0.24224177860120427,0.255886524822695,0.24337535374324668,0.26316468766133194,0.23135504201680668,0.2366504854368932,0.2458270106221547,0.23663453111305868
3,3,0.2734375,0.23280861640430825,0.2382445141065831,0.20850840336134457,0.21567695961995248,0.1603626943005181,0.2213457076566125,0.22277227722772278,0.23868131868131873,0.2473367299675776,0.2323404255319149,0.22510933882171344,0.21760454310789887,0.24107142857142866,0.23179611650485438,0.2348254931714718,0.23707274320771246
4,4,0.2734375,0.15907207953603975,0.18092252575011192,0.20640756302521007,0.2014251781472684,0.18031088082901547,0.19118329466357306,0.19471947194719474,0.1731868131868132,0.16952292728114868,0.15602836879432624,0.15770517108309748,0.13771295818275686,0.16544117647058826,0.1707119741100323,0.16122913505311068,0.1765994741454864
5,5,0.1640625,0.07732670533001934,0.10658307210031348,0.1313025210084034,0.12636579572446555,0.1510362694300518,0.125754060324826,0.12596259625962597,0.090989010989011,0.09124594719777675,0.06524822695035461,0.07409313094931824,0.059628291171915336,0.0819327731092437,0.09991909385113266,0.09749620637329286,0.0880806310254163
6,6,0.0546875,0.02954984810825739,0.04702194357366771,0.07247899159663865,0.08076009501187648,0.14300518134715026,0.06032482598607889,0.06215621562156216,0.040439560439560436,0.03798054654932839,0.02354609929078014,0.02649858502701312,0.020263293753226636,0.03230042016806722,0.046521035598705504,0.03907435508345979,0.03943908851884312
7,7,0.0078125,0.00579950289975145,0.0161218092252575,0.04569327731092437,0.06175771971496437,0.17409326424870467,0.027842227378190254,0.04235423542354235,0.014945054945054945,0.0111162575266327,0.007375886524822695,0.007460766658091073,0.00619514713474445,0.013918067226890757,0.034385113268608415,0.014036418816388467,0.022787028921998246
