,#effective,C_prob,init_011,init_001,init_010,init_101,init_111,init_110,init_100,init_000
0,0,0.0078125,0.043468518933452834,0.05803711859075181,0.060510610079575596,0.0395919358756376,0.022525597269624574,0.04887135656366426,0.06405309461336627,0.08087753765553372
1,1,0.0546875,0.1281649114945104,0.16310160427807485,0.16694297082228116,0.1258197716784066,0.0803754266211604,0.14398422090729782,0.1761074239851829,0.21389980353634577
2,2,0.1640625,0.2144297557696616,0.23639509279647694,0.24502652519893897,0.22589264027204273,0.15170648464163822,0.2336182336182336,0.25173637907084423,0.26105108055009824
3,3,0.2734375,0.22003136903428186,0.24064171122994654,0.24834217506631306,0.2428953121204761,0.1858361774744027,0.23339907955292574,0.23136286463960493,0.21381794368041912
4,4,0.2734375,0.18552543132422136,0.1667190940547342,0.16114058355437666,0.172941462229779,0.1841296928327645,0.1648038571115495,0.1592838400987807,0.13834315651604454
5,5,0.1640625,0.11449697512883705,0.08430324001258258,0.07493368700265253,0.10808841389361186,0.14658703071672355,0.10628972167433708,0.078870196017904,0.06434184675834971
6,6,0.0546875,0.058032713421465376,0.03633217993079584,0.03464854111405835,0.05708039834831188,0.11177474402730375,0.04909051062897216,0.029788547615372744,0.022020301244269812
7,7,0.0078125,0.035850324893569346,0.014469959106637308,0.008454907161803714,0.02769006558173427,0.11706484641638225,0.019943019943019943,0.008797653958944282,0.005648330058939097
