,#effective,C_prob,init_10,init_01,init_11,init_00
0,0,0.015625,0.08012170385395538,0.07532601235415237,0.04326551635333505,0.10411937991983387
1,1,0.09375,0.20765720081135902,0.1959505833905285,0.1336595415915529,0.2453759598203506
2,2,0.234375,0.26369168356997974,0.26372683596431024,0.2050819812859473,0.28009851740957165
3,3,0.3125,0.23427991886409735,0.23172614962251203,0.21916044295647694,0.21079828077461726
4,4,0.234375,0.13691683569979715,0.13958476321207963,0.16979998283114428,0.10981793596368379
5,5,0.09375,0.057386747802569305,0.06666094715168154,0.11597562022491202,0.0396967209156324
6,6,0.015625,0.019945909398242055,0.02702470830473576,0.11305691475663147,0.010093205196310427
