,#effective,C_prob,init_101111,init_011110,init_111101,init_111011,init_110111,init_110110,init_101101,init_011010,init_110101
0,0,0.00390625,0.008097165991902834,0.01971830985915493,0.024439918533604887,0.017391304347826087,0.017738359201773836,0.03592814371257485,0.02564102564102564,0.03664921465968586,0.021148036253776436
1,1,0.03125,0.05668016194331984,0.10140845070422536,0.06517311608961303,0.052173913043478265,0.053215077605321515,0.10179640718562874,0.08974358974358974,0.10209424083769633,0.08761329305135952
2,2,0.109375,0.10728744939271258,0.17464788732394362,0.14867617107942976,0.12608695652173915,0.11086474501108644,0.1736526946107784,0.12500000000000003,0.18324607329842937,0.16616314199395776
3,3,0.21875,0.1396761133603239,0.20845070422535203,0.1629327902240327,0.14347826086956514,0.14855875831485588,0.21856287425149687,0.23717948717948711,0.24083769633507868,0.23867069486404843
4,4,0.2734375,0.19635627530364366,0.208450704225352,0.15682281059063144,0.17826086956521722,0.1707317073170733,0.20958083832335317,0.2339743589743588,0.21204188481675407,0.19335347432024177
5,5,0.21875,0.20445344129554657,0.1633802816901408,0.18940936863543797,0.17173913043478253,0.1929046563192905,0.12874251497005987,0.1057692307692308,0.12041884816753932,0.1510574018126889
6,6,0.109375,0.10323886639676116,0.07323943661971832,0.109979633401222,0.15,0.1219512195121951,0.07185628742514968,0.10897435897435899,0.06544502617801048,0.09365558912386711
7,7,0.03125,0.09109311740890688,0.030985915492957747,0.0855397148676171,0.08260869565217391,0.0975609756097561,0.03892215568862276,0.041666666666666664,0.034031413612565446,0.03323262839879154
8,8,0.00390625,0.0931174089068826,0.01971830985915493,0.05702647657841141,0.0782608695652174,0.08647450110864745,0.020958083832335328,0.03205128205128205,0.005235602094240838,0.015105740181268883
