,#effective,C_prob,init_01,init_11,init_10,init_00
0,0,0.0078125,0.051168375357901544,0.028130422869668464,0.05538235833486154,0.07570977917981073
1,1,0.0546875,0.14981065853883807,0.09809114987670108,0.16046213093709882,0.19947423764458463
2,2,0.1640625,0.22665558326406207,0.1710658507626267,0.23152393178067118,0.25320715036803365
3,3,0.2734375,0.23995566638958157,0.19782628550552567,0.24115165963689708,0.2241324921135647
4,4,0.2734375,0.17391705920384226,0.1809297652753676,0.1666972308820833,0.14710830704521557
5,5,0.1640625,0.0930082201902651,0.12676956799707736,0.09169264624977076,0.06813880126182965
6,6,0.0546875,0.044241248730026786,0.09653849666636223,0.03878598936365304,0.024921135646687697
7,7,0.0078125,0.02124318832548259,0.10064846104667093,0.01430405281496424,0.0073080967402733964
