,#effective,C_prob,init_011110,init_111100,init_001011,init_010111,init_101111,init_011111,init_111110,init_111101,init_111011,init_110110,init_101101,init_011010,init_110101,init_101010,init_010101,init_010100,init_101000,init_010000,init_100000,init_000000,init_000001,init_000011,init_000111,init_001111,init_111000,init_110000,init_111111,init_110111,init_101110,init_011101,init_111010,init_101011,init_010110,init_101100,init_011000,init_100001,init_000110,init_001101,init_011011,init_011001,init_110011,init_100110,init_001100,init_110001,init_100011,init_111001,init_110010,init_100101,init_100100,init_001000,init_010001,init_100010,init_000101,init_001110,init_011100,init_001001,init_010010,init_100111,init_110100,init_101001,init_001010,init_010011,init_000010,init_000100
0,0,0.125,0.19294117647058823,0.2340764331210191,0.20297029702970298,0.18046709129511676,0.0996309963099631,0.12658227848101267,0.1864864864864865,0.13743218806509946,0.1388888888888889,0.20279720279720279,0.23448275862068965,0.2572992700729927,0.19419642857142858,0.24721189591078066,0.21851851851851853,0.26247030878859856,0.2730299667036626,0.3254830917874396,0.3378895571350465,0.3522954091816367,0.2841747022121384,0.21786064769381747,0.17937853107344634,0.13854351687388988,0.2712765957446808,0.30385700846660396,0.07023255813953488,0.13972055888223553,0.21678321678321677,0.21184510250569477,0.20816326530612245,0.15695067264573992,0.20462046204620463,0.22961730449251247,0.2987598647125141,0.29777777777777775,0.2718006795016987,0.22348484848484848,0.1595238095238095,0.23747980613893377,0.19183673469387755,0.24100719424460432,0.2915742793791574,0.2066115702479339,0.19932432432432431,0.19723865877712032,0.2574102964118565,0.21061946902654868,0.27845303867403315,0.3140643623361144,0.27181208053691275,0.25749167591564925,0.24013528748590757,0.24675324675324675,0.2694214876033058,0.25302663438256656,0.2642424242424242,0.22105263157894736,0.25549915397631134,0.23277467411545624,0.25381903642773207,0.19597069597069597,0.3069852941176471,0.31374924288310113
1,1,0.375,0.3458823529411765,0.3678343949044586,0.4042904290429043,0.33757961783439494,0.2656826568265682,0.26863572433192684,0.35,0.325497287522604,0.3194444444444444,0.37762237762237766,0.33793103448275863,0.40328467153284675,0.3928571428571429,0.4033457249070632,0.3962962962962963,0.40973871733966744,0.41509433962264153,0.40760869565217395,0.3810825587752871,0.41142714570858285,0.387975042541123,0.379784102060844,0.3700564971751413,0.3321492007104796,0.4122340425531915,0.4007525870178739,0.17627906976744184,0.27944111776447106,0.3986013986013986,0.35079726651480636,0.37142857142857144,0.4170403587443946,0.42244224422442245,0.4093178036605657,0.3923337091319053,0.3733333333333333,0.362400906002265,0.3806818181818182,0.40476190476190477,0.38449111470113084,0.39591836734693875,0.39568345323741005,0.3869179600886918,0.42479338842975206,0.3868243243243243,0.40236686390532544,0.3634945397815913,0.40176991150442476,0.4287292817679558,0.42193087008343266,0.39709172259507836,0.43174250832408434,0.41037204058624577,0.3831168831168831,0.3867768595041322,0.40193704600484265,0.4084848484848485,0.30526315789473685,0.4179357021996616,0.3966480446927374,0.399529964747356,0.4157509157509157,0.41237745098039214,0.40520896426408237
2,2,0.375,0.32705882352941174,0.3121019108280255,0.2953795379537954,0.3078556263269639,0.33948339483394835,0.27566807313642755,0.2972972972972973,0.3327305605786618,0.2718253968253968,0.3146853146853147,0.2942528735632184,0.2591240875912409,0.31026785714285715,0.2676579925650558,0.2814814814814815,0.25653206650831356,0.2397336293007769,0.22101449275362323,0.21815199562602516,0.18987025948103792,0.2518434486670448,0.281648675171737,0.2937853107344633,0.2895204262877442,0.23138297872340424,0.2333019755409219,0.25720930232558137,0.29141716566866266,0.28438228438228436,0.3006833712984055,0.3142857142857143,0.273542600896861,0.2838283828382838,0.26788685524126454,0.2491544532130778,0.25,0.28992072480181197,0.28409090909090906,0.2523809523809524,0.2875605815831987,0.27755102040816326,0.2787769784172662,0.24944567627494457,0.2644628099173554,0.2922297297297297,0.2978303747534517,0.28549141965678626,0.2991150442477876,0.23314917127071824,0.21871275327771156,0.25950782997762867,0.24750277469478357,0.27057497181510715,0.2775974025974026,0.25950413223140495,0.26876513317191286,0.26666666666666666,0.30947368421052635,0.260575296108291,0.2867783985102421,0.27497062279670975,0.28205128205128205,0.22487745098039214,0.23198061780738943
3,3,0.125,0.13411764705882354,0.08598726114649681,0.09735973597359736,0.1740976645435244,0.2952029520295203,0.3291139240506329,0.1662162162162162,0.20433996383363473,0.2698412698412698,0.1048951048951049,0.13333333333333333,0.08029197080291971,0.10267857142857142,0.08178438661710037,0.1037037037037037,0.07125890736342043,0.07214206437291898,0.04589371980676329,0.06287588846364134,0.04640718562874251,0.0760068065796937,0.12070657507360157,0.15677966101694915,0.23978685612788633,0.0851063829787234,0.062088428974600186,0.49627906976744185,0.2894211576846307,0.10023310023310024,0.1366742596810934,0.10612244897959183,0.15246636771300448,0.0891089108910891,0.09317803660565724,0.05975197294250282,0.07888888888888888,0.07587768969422423,0.11174242424242424,0.18333333333333332,0.09046849757673667,0.1346938775510204,0.08453237410071943,0.07206208425720621,0.10413223140495868,0.12162162162162163,0.10256410256410256,0.093603744149766,0.08849557522123894,0.05966850828729282,0.04529201430274136,0.07158836689038031,0.06326304106548279,0.07891770011273957,0.09253246753246754,0.08429752066115702,0.07627118644067797,0.06060606060606061,0.16421052631578947,0.06598984771573604,0.08379888268156424,0.07168037602820211,0.10622710622710622,0.05575980392156863,0.049061175045427015
