,#effective,C_prob,init_001011,init_010111,init_101111,init_011111,init_111110,init_111101,init_111011,init_110110,init_101101,init_011010,init_110101
0,0,0.0078125,0.04150943396226415,0.030612244897959183,0.01098901098901099,0.019933554817275746,0.026755852842809364,0.02748414376321353,0.019736842105263157,0.04404145077720207,0.03260869565217391,0.05128205128205128,0.03550295857988166
1,1,0.0546875,0.15283018867924528,0.12499999999999999,0.06593406593406595,0.08139534883720931,0.12876254180602006,0.0909090909090909,0.10526315789473684,0.13989637305699482,0.13043478260869568,0.15384615384615385,0.10946745562130178
2,2,0.1640625,0.22452830188679243,0.19642857142857145,0.13406593406593406,0.1611295681063123,0.1789297658862876,0.2114164904862579,0.1513157894736842,0.21502590673575128,0.19293478260869565,0.21212121212121213,0.22485207100591711
3,3,0.2734375,0.21886792452830187,0.22959183673469397,0.21758241758241761,0.1760797342192691,0.2107023411371237,0.1818181818181818,0.16447368421052633,0.23834196891191714,0.2445652173913044,0.25874125874125875,0.23076923076923062
4,4,0.2734375,0.20188679245283017,0.20153061224489804,0.20439560439560442,0.2009966777408638,0.20066889632107016,0.20718816067653273,0.20394736842105263,0.17875647668393785,0.21467391304347824,0.19580419580419586,0.2159763313609466
5,5,0.1640625,0.0981132075471698,0.11989795918367349,0.15824175824175823,0.13787375415282396,0.13545150501672237,0.13319238900634253,0.15350877192982454,0.11398963730569948,0.0978260869565217,0.07925407925407925,0.11538461538461542
6,6,0.0546875,0.04150943396226415,0.06632653061224489,0.1076923076923077,0.09966777408637874,0.07357859531772576,0.08245243128964058,0.11842105263157893,0.046632124352331605,0.05434782608695653,0.04195804195804195,0.05917159763313609
7,7,0.0078125,0.020754716981132074,0.030612244897959183,0.1010989010989011,0.12292358803986711,0.0451505016722408,0.06553911205073996,0.08333333333333333,0.023316062176165803,0.03260869565217391,0.006993006993006993,0.008875739644970414
