,#effective,C_prob,init_011,init_111,init_101,init_110,init_010,init_100,init_001,init_000
0,0,0.015625,0.057566137566137564,0.031324916093974746,0.0610773044850124,0.066126013724267,0.09021974620860415,0.09170560747663552,0.08389012620638456,0.10614525139664804
1,1,0.09375,0.17058201058201058,0.10899792232699376,0.17444219066937122,0.19193179455188186,0.22284122562674097,0.22502920560747666,0.21410541945063105,0.26379429096196527
2,2,0.234375,0.246984126984127,0.1721272175163816,0.25963488843813387,0.2580578082761489,0.2686474775611266,0.2819801401869159,0.2688938381588715,0.27703374913905265
3,3,0.3125,0.2336507936507936,0.20648873261946615,0.22988505747126436,0.23726346433770015,0.2298050139275766,0.21962616822429903,0.22761692650334076,0.20195913369556898
4,4,0.234375,0.15661375661375657,0.166373661499121,0.15596123506874013,0.14951133291744645,0.12426493345713402,0.12280957943925233,0.13110616184112844,0.10560955077676588
5,5,0.09375,0.086984126984127,0.14703532044110598,0.08406581023213884,0.06882927843626534,0.05075827917053544,0.04658294392523364,0.054639940608760214,0.03780515803168286
6,6,0.015625,0.047619047619047616,0.1676522295029567,0.03493351363533919,0.02828030775629029,0.013463324048282266,0.012266355140186916,0.019747587230883445,0.00765286599831637
