,#effective,C_prob,init_001011,init_010111,init_101111,init_011111,init_111110,init_111101,init_111011,init_110110,init_101101,init_011010,init_110101,init_101010,init_010101,init_010100,init_101000,init_010000,init_100000,init_000000,init_000001,init_000011,init_000111,init_001111,init_011110,init_111100,init_111000,init_110000,init_111111,init_110111,init_101110,init_011101,init_111010,init_101011,init_010110,init_101100,init_011000,init_100001,init_000110,init_001101,init_011011,init_101001,init_010011,init_100110,init_110100,init_000010,init_000101,init_011100,init_111001,init_110010,init_100100,init_001000,init_011001,init_110011,init_001100,init_110001,init_100011,init_100101,init_010001,init_100010,init_100111,init_001110,init_001001,init_001010,init_000100,init_010010
0,0,0.03125,0.07414104882459313,0.07792207792207792,0.0335195530726257,0.04888268156424581,0.08100558659217877,0.06440071556350627,0.05443548387096774,0.08585858585858586,0.08900523560209424,0.10882956878850103,0.06982543640897755,0.09808102345415778,0.1072961373390558,0.12384716732542819,0.1453416149068323,0.16274634456452639,0.15701042873696408,0.1805774278215223,0.14928909952606634,0.11546840958605664,0.07230769230769231,0.06968641114982578,0.09929078014184398,0.11663807890222985,0.13062409288824384,0.1500503524672709,0.02877697841726619,0.06444906444906445,0.08958837772397095,0.0835509138381201,0.09821428571428571,0.06493506493506493,0.08806262230919765,0.0931098696461825,0.15126050420168066,0.12857142857142856,0.13043478260869565,0.098,0.05641025641025641,0.09072164948453608,0.08943089430894309,0.12236286919831224,0.13108614232209737,0.1624685138539043,0.10451306413301663,0.11979166666666667,0.09071729957805907,0.11607142857142858,0.13170731707317074,0.15607300188797987,0.1049618320610687,0.09641255605381166,0.14545454545454545,0.10714285714285714,0.09156193895870736,0.08921161825726141,0.13242574257425743,0.14460784313725492,0.0876068376068376,0.11517367458866545,0.10779220779220779,0.12289780077619664,0.1720360824742268,0.11866666666666667
1,1,0.15625,0.23508137432188064,0.17532467532467533,0.13594040968342644,0.13966480446927373,0.2136871508379888,0.16100178890876565,0.1431451612903226,0.22727272727272724,0.21727748691099474,0.2484599589322382,0.21197007481296756,0.2835820895522388,0.2446351931330472,0.30039525691699603,0.28447204968944095,0.31977113795295614,0.3389339513325608,0.32939632545931763,0.2825829383886256,0.25163398692810457,0.2323076923076923,0.16550522648083624,0.20803782505910165,0.25728987993138935,0.262699564586357,0.2940584088620342,0.0752997601918465,0.13305613305613306,0.23486682808716708,0.195822454308094,0.21874999999999997,0.24155844155844158,0.2602739726027397,0.2718808193668529,0.27250900360144054,0.2773809523809524,0.26690821256038644,0.208,0.22307692307692306,0.26804123711340205,0.24593495934959347,0.2510548523206751,0.24906367041198504,0.30730478589420657,0.2743467933491686,0.26736111111111116,0.2510548523206751,0.26964285714285713,0.28170731707317076,0.3278791692888609,0.2366412213740458,0.23094170403587444,0.2727272727272727,0.26071428571428573,0.20287253141831238,0.23443983402489627,0.2636138613861386,0.27941176470588236,0.202991452991453,0.27239488117001825,0.27792207792207796,0.278137128072445,0.3170103092783505,0.29866666666666664
2,2,0.3125,0.28933092224231466,0.27922077922077926,0.2178770949720671,0.22486033519553073,0.2527932960893855,0.2629695885509839,0.2157258064516129,0.25757575757575757,0.2513089005235602,0.30595482546201236,0.31670822942643395,0.2942430703624733,0.30257510729613735,0.2859025032938076,0.3043478260869565,0.2917991099809282,0.264774044032445,0.28792650918635176,0.28139810426540285,0.2679738562091503,0.2692307692307693,0.26306620209059234,0.2978723404255319,0.27272727272727276,0.3076923076923077,0.27089627391742194,0.14724220623501197,0.19334719334719336,0.2784503631961259,0.2689295039164491,0.296875,0.25974025974025977,0.30528375733855184,0.28677839851024206,0.30132052821128447,0.2916666666666667,0.2946859903381642,0.32,0.2358974358974359,0.3154639175257732,0.2845528455284553,0.2890295358649789,0.31835205992509363,0.2726700251889169,0.27790973871733965,0.2899305555555556,0.27637130801687765,0.26964285714285713,0.3060975609756098,0.28067967275015737,0.29198473282442744,0.22869955156950672,0.3018181818181818,0.28750000000000003,0.31597845601436264,0.31742738589211617,0.27227722772277224,0.29044117647058826,0.25,0.28702010968921393,0.28961038961038965,0.2820181112548512,0.26417525773195877,0.31200000000000006
3,3,0.3125,0.24050632911392406,0.2467532467532467,0.260707635009311,0.22486033519553073,0.21648044692737428,0.23076923076923078,0.23185483870967744,0.26515151515151514,0.24869109947643975,0.22997946611909648,0.2369077306733167,0.21321961620469085,0.2124463519313305,0.20158102766798416,0.18012422360248448,0.161474888747616,0.16396292004634994,0.13805774278215222,0.19075829383886256,0.21895424836601307,0.2276923076923077,0.22473867595818817,0.21985815602836875,0.20926243567753,0.17126269956458634,0.18429003021148038,0.1793764988009592,0.2494802494802495,0.23728813559322037,0.22976501305483032,0.22544642857142855,0.2363636363636364,0.20939334637964774,0.1973929236499069,0.18247298919567825,0.19285714285714284,0.20772946859903382,0.22599999999999998,0.24871794871794867,0.2041237113402062,0.21138211382113825,0.23206751054852315,0.18539325842696627,0.18073047858942065,0.21615201900237527,0.2048611111111111,0.20464135021097046,0.2285714285714286,0.20243902439024392,0.16488357457520453,0.20801526717557253,0.23094170403587444,0.20242424242424242,0.19464285714285717,0.21543985637342908,0.22199170124481327,0.2178217821782178,0.17524509803921567,0.21581196581196585,0.21937842778793415,0.2064935064935065,0.20698576972833121,0.16623711340206185,0.18666666666666668
4,4,0.15625,0.11934900542495479,0.13636363636363638,0.18435754189944134,0.18016759776536312,0.1452513966480447,0.16636851520572452,0.20967741935483872,0.11363636363636362,0.1256544502617801,0.08829568788501027,0.12468827930174563,0.08528784648187633,0.10515021459227468,0.06982872200263504,0.06459627329192547,0.0540368722186904,0.057358053302433376,0.05380577427821522,0.07286729857819906,0.09912854030501089,0.12461538461538461,0.1358885017421603,0.12056737588652482,0.10806174957118353,0.09724238026124819,0.07552870090634442,0.22446043165467625,0.18503118503118504,0.11622276029055692,0.15143603133159272,0.12723214285714285,0.14025974025974028,0.10567514677103718,0.12849162011173185,0.07683073229291718,0.07857142857142857,0.07608695652173912,0.106,0.14871794871794872,0.0865979381443299,0.10772357723577235,0.07172995780590717,0.0861423220973783,0.06045340050377834,0.09026128266033254,0.09722222222222221,0.13080168776371306,0.09464285714285714,0.06707317073170732,0.0591567023285085,0.12022900763358779,0.14125560538116594,0.05454545454545456,0.11071428571428571,0.12028725314183122,0.11618257261410789,0.09034653465346536,0.08823529411764706,0.13461538461538464,0.06946983546617916,0.08831168831168831,0.0815006468305304,0.0663659793814433,0.07066666666666667
5,5,0.03125,0.04159132007233273,0.08441558441558442,0.16759776536312848,0.18156424581005587,0.09078212290502793,0.11449016100178891,0.14516129032258066,0.050505050505050504,0.06806282722513089,0.018480492813141684,0.0399002493765586,0.0255863539445629,0.027896995708154508,0.01844532279314888,0.02111801242236025,0.010171646535282899,0.017960602549246814,0.010236220472440945,0.0231042654028436,0.046840958605664486,0.07384615384615385,0.14111498257839722,0.054373522458628844,0.036020583190394515,0.030478955007256895,0.025176233635448138,0.3448441247002398,0.17463617463617465,0.043583535108958835,0.07049608355091384,0.033482142857142856,0.05714285714285714,0.03131115459882583,0.0223463687150838,0.015606242496998799,0.030952380952380953,0.024154589371980676,0.042,0.08717948717948718,0.03505154639175258,0.06097560975609756,0.03375527426160337,0.0299625468164794,0.0163727959697733,0.03681710213776722,0.020833333333333332,0.046413502109704644,0.02142857142857143,0.01097560975609756,0.011327879169288861,0.03816793893129771,0.07174887892376682,0.02303030303030303,0.039285714285714285,0.05385996409335727,0.02074688796680498,0.023514851485148515,0.022058823529411766,0.10897435897435898,0.03656307129798903,0.02987012987012987,0.028460543337645538,0.014175257731958763,0.013333333333333334
