,#effective,C_prob,init_00101,init_01011,init_10111,init_01111,init_11111,init_11110,init_11101,init_11011,init_10110,init_01101,init_11010,init_10101,init_01010,init_10100,init_01000,init_10000,init_00000,init_00001,init_00011,init_00111,init_11100,init_11000,init_01110,init_01100,init_00110,init_01001,init_10011,init_00010,init_11001,init_10010,init_00100,init_10001
0,0,0.015625,0.07229832572298325,0.0546218487394958,0.04055496264674493,0.025431425976385105,0.019572308807538963,0.0497335701598579,0.04293193717277487,0.034753363228699555,0.056745182012847964,0.06358381502890173,0.07683982683982683,0.05066344993968637,0.0755813953488372,0.08487654320987655,0.10792291220556745,0.10260521042084168,0.11997658993367148,0.0993431855500821,0.06616643929058663,0.0578806767586821,0.07534246575342465,0.0900131406044678,0.0787321063394683,0.08864468864468865,0.08641975308641975,0.07317073170731707,0.05919661733615222,0.10981912144702842,0.058823529411764705,0.07963246554364471,0.1052170100832968,0.07652685798381163
1,1,0.09375,0.18797564687975646,0.1722689075630252,0.11632870864461045,0.11625794732061763,0.07321493294671982,0.16341030195381884,0.13507853403141362,0.14573991031390135,0.1937901498929336,0.16300578034682078,0.17424242424242423,0.17611580217129072,0.21096345514950166,0.2067901234567901,0.24539614561027837,0.2605210420841683,0.2735076082715568,0.23234811165845648,0.17326057298772168,0.15939447907390916,0.19178082191780824,0.21879106438896187,0.17995910020449898,0.18974358974358974,0.19907407407407404,0.208130081300813,0.16913319238900634,0.23901808785529718,0.20057859209257475,0.2105666156202144,0.24813678211310827,0.1949963208241354
2,2,0.234375,0.2709284627092846,0.25000000000000006,0.20490928495197436,0.19618528610354224,0.1170714026821312,0.21758436944937834,0.231413612565445,0.18161434977578478,0.2623126338329764,0.2554913294797687,0.2716450216450217,0.27744270205066346,0.2757475083056478,0.2893518518518518,0.2758029978586724,0.2741482965931864,0.2859929769801014,0.26149425287356326,0.2714870395634379,0.22528940338379344,0.2859589041095891,0.27135348226018396,0.25971370143149286,0.28571428571428575,0.2762345679012346,0.27723577235772356,0.24841437632135305,0.26141257536606377,0.25458052073288334,0.27488514548238896,0.28145550197281904,0.2612214863870493
3,3,0.3125,0.24733637747336376,0.23949579831932774,0.22411953041622198,0.22615803814713895,0.16926422616890177,0.24422735346358793,0.21465968586387432,0.23430493273542596,0.2194860813704497,0.2323699421965317,0.2532467532467533,0.23281061519903504,0.23006644518272426,0.23919753086419754,0.2094218415417559,0.20080160320641283,0.1917674600078034,0.22249589490968794,0.23806275579809003,0.25200356188780054,0.19948630136986306,0.23061760840998682,0.2351738241308793,0.23443223443223443,0.2415123456790123,0.22764227642276427,0.2431289640591966,0.2209302325581396,0.21986499517839925,0.24042879019908117,0.20955721174923284,0.24282560706401765
4,4,0.234375,0.14079147640791476,0.15861344537815122,0.18356456776947705,0.18437783832879204,0.16853932584269662,0.1767317939609236,0.17905759162303667,0.1849775784753363,0.16274089935760172,0.17341040462427743,0.14502164502164502,0.15319662243667068,0.1378737541528239,0.11882716049382717,0.11734475374732337,0.10861723446893787,0.09559110417479516,0.1211001642036125,0.15484311050477487,0.15048975957257346,0.15582191780821916,0.11826544021024965,0.14314928425357876,0.12527472527472527,0.13040123456790123,0.13495934959349598,0.14270613107822414,0.119724375538329,0.15911282545805208,0.1339969372128637,0.10784743533537922,0.15084621044885946
5,5,0.09375,0.06468797564687975,0.0892857142857143,0.128068303094984,0.1326067211625795,0.19572308807538963,0.0905861456483126,0.12041884816753927,0.11883408071748879,0.07387580299785867,0.06705202312138728,0.06385281385281386,0.08564535585042218,0.05647840531561462,0.04861111111111111,0.035974304068522485,0.043687374749499006,0.02536090518923137,0.04597701149425287,0.0654843110504775,0.0908281389136242,0.07534246575342465,0.056504599211563734,0.07259713701431493,0.06080586080586081,0.050925925925925916,0.05772357723577236,0.08985200845665962,0.03919035314384152,0.07618129218900675,0.05359877488514548,0.039017974572555895,0.05518763796909492
6,6,0.015625,0.01598173515981735,0.03571428571428571,0.10245464247598719,0.11898274296094459,0.25661471547662196,0.05772646536412078,0.07643979057591622,0.09977578475336323,0.031049250535331904,0.04508670520231214,0.015151515151515152,0.024125452352231604,0.013289036544850499,0.012345679012345678,0.008137044967880086,0.009619238476953907,0.007803355442840421,0.017241379310344827,0.030695770804911322,0.06411398040961709,0.016267123287671232,0.01445466491458607,0.03067484662576687,0.015384615384615385,0.015432098765432098,0.02113821138211382,0.04756871035940803,0.009905254091300603,0.03085824493731919,0.006891271056661562,0.008768084173608066,0.01839587932303164
