,#effective,C_prob,init_00101,init_01011,init_10111,init_01111,init_11111,init_11110,init_11101,init_11011,init_10110,init_01101,init_11010,init_10101,init_01010,init_10100,init_01000,init_10000,init_00000,init_00001,init_00011,init_00111,init_11100,init_11000,init_01110,init_01100,init_11001,init_10011,init_00110,init_10001,init_10010,init_00100,init_01001,init_00010
0,0,0.00390625,0.03735144312393888,0.02378255945639864,0.023501762632197415,0.011776251226692836,0.00724929520741039,0.022351797862001945,0.016129032258064516,0.014563106796116505,0.0304093567251462,0.027166882276843468,0.033169533169533166,0.029177718832891247,0.0423728813559322,0.042152466367713005,0.04736063147508633,0.051731893837157,0.06150878696956708,0.055150410209662715,0.03817365269461078,0.03203883495145631,0.026948989412897015,0.04218181818181818,0.02870264064293915,0.04707792207792208,0.028384279475982533,0.038869257950530034,0.04700854700854701,0.030782029950083195,0.03642671292281006,0.051459673428995545,0.03205128205128205,0.053948013732221675
1,1,0.03125,0.11205432937181665,0.09739524348810871,0.05640423031727379,0.05495583905789989,0.03987112364075716,0.08746355685131195,0.05875576036866359,0.06432038834951456,0.09005847953216374,0.0815006468305304,0.09213759213759214,0.09946949602122016,0.13559322033898305,0.13632286995515694,0.18006906758756783,0.17094017094017094,0.18174024860694385,0.1513217866909754,0.09805389221556886,0.08252427184466019,0.1203079884504331,0.14545454545454545,0.10792192881745119,0.12743506493506496,0.10262008733624453,0.0977620730270907,0.13162393162393163,0.11231281198003328,0.14223764093668692,0.16773874319643742,0.12454212454212454,0.14958312898479645
2,2,0.109375,0.19524617996604413,0.1755379388448471,0.13043478260869568,0.13542688910696762,0.07329842931937172,0.15257531584062198,0.16820276497695852,0.14077669902912618,0.19181286549707602,0.16300129366106086,0.1867321867321868,0.18965517241379318,0.20527306967984935,0.19820627802690585,0.22249629995066605,0.24786324786324787,0.2496785255036434,0.21422060164083861,0.19910179640718562,0.15728155339805822,0.19538017324350343,0.21163636363636365,0.1917336394948335,0.20454545454545447,0.18995633187772926,0.17196702002355707,0.19743589743589748,0.1905158069883527,0.19167389418907196,0.2241464621474518,0.19322344322344323,0.2251103482099068
3,3,0.21875,0.22835314091680822,0.2049830124575313,0.17626321974148065,0.18449460255152098,0.11437776882803063,0.21379980563654027,0.19124423963133635,0.1868932038834951,0.22222222222222218,0.2548512289780078,0.24692874692874697,0.22281167108753308,0.24482109227871943,0.23766816143497768,0.20670942279230387,0.20827710301394517,0.21967423917702528,0.2123974475843209,0.2245508982035928,0.2077669902912621,0.2184793070259865,0.2196363636363636,0.21125143513203215,0.22808441558441545,0.2314410480349346,0.21319199057714952,0.24102564102564095,0.2354409317803659,0.23156981786643543,0.21276595744680846,0.2554945054945055,0.2221677292790585
4,4,0.2734375,0.19609507640067908,0.20158550396375996,0.19506462984723857,0.18547595682041212,0.13934756343133306,0.17589893100097195,0.17281105990783402,0.17839805825242713,0.19999999999999987,0.20439844760672712,0.2063882063882065,0.18965517241379298,0.1619585687382297,0.1946188340807176,0.1795757276763691,0.1668915879442195,0.15837976853836266,0.18094804010938934,0.18787425149700598,0.20388349514563103,0.18286814244465827,0.17963636363636365,0.18943742824339843,0.19155844155844148,0.19104803493449796,0.17314487632508832,0.17606837606837594,0.19301164725457556,0.2012142237640937,0.1830776843146958,0.18131868131868117,0.17165277096616005
5,5,0.21875,0.13412563667232597,0.15288788221970562,0.1762632197414806,0.16192345436702643,0.14055577929923482,0.16715257531584074,0.16705069124423957,0.1723300970873786,0.1555555555555555,0.12936610608020704,0.12407862407862408,0.14721485411140578,0.13276836158192096,0.11479820627802687,0.09422792303897383,0.0899685110211426,0.08315473639091299,0.10483135824977213,0.1347305389221556,0.13689320388349513,0.13763233878729547,0.11490909090909092,0.1435132032146958,0.11769480519480512,0.1342794759825328,0.15429917550058894,0.11282051282051275,0.13727121464226283,0.11882046834345193,0.09698169223156855,0.12362637362637355,0.10397253555664551
6,6,0.109375,0.06027164685908321,0.07474518686296716,0.09870740305522914,0.11089303238469089,0.1413612565445026,0.0903790087463557,0.10714285714285714,0.11407766990291258,0.06666666666666667,0.07891332470892631,0.06879606879606881,0.07692307692307694,0.05084745762711865,0.04573991031390136,0.04785397138628515,0.03868645973909132,0.034076296613801974,0.05469462169553327,0.06362275449101797,0.08252427184466023,0.07795957651588066,0.05454545454545455,0.0734787600459242,0.05357142857142858,0.07096069868995634,0.07067137809187275,0.062393162393162394,0.05823627287853575,0.05810928013876841,0.04651162790697676,0.0531135531135531,0.04855321235899951
7,7,0.03125,0.02546689303904924,0.047565118912797286,0.08225616921269095,0.07752698724239451,0.15545710833668946,0.052478134110787174,0.06797235023041474,0.0728155339805825,0.02807017543859649,0.040103492884864166,0.03194103194103194,0.03183023872679045,0.02165725047080979,0.021524663677130046,0.01628021706956093,0.021592442645074223,0.009429918559794255,0.020966271649954422,0.03667664670658683,0.057281553398058245,0.02983638113570741,0.023999999999999997,0.03559127439724454,0.021103896103896107,0.031659388646288214,0.04711425206124852,0.022222222222222223,0.028286189683860232,0.015611448395490024,0.012370113805047007,0.02197802197802198,0.019617459538989704
8,8,0.00390625,0.011035653650254669,0.021517553793884484,0.06110458284371328,0.0775269872423945,0.18848167539267016,0.037900874635568516,0.05069124423963134,0.055825242718446605,0.0152046783625731,0.02069857697283312,0.009828009828009828,0.013262599469496022,0.004708097928436911,0.008968609865470852,0.005426739023186976,0.004048582995951417,0.002357479639948564,0.0054694621695533276,0.01721556886227545,0.039805825242718446,0.010587102983638113,0.008,0.018369690011481057,0.008928571428571428,0.019650655021834062,0.03297997644287397,0.009401709401709401,0.014143094841930116,0.004336513443191674,0.004948045522018802,0.014652014652014652,0.005394801373222168
