,#effective,C_prob,init_011110,init_101111,init_111101,init_111011,init_110111,init_110110,init_101101,init_011010,init_110101,init_101010,init_010100,init_101001,init_010011,init_100110,init_001101,init_011011,init_110100,init_101000,init_010000,init_100000,init_000000,init_000001,init_000010,init_000101,init_001011,init_010111,init_101110,init_011100,init_111001,init_110010,init_100100,init_001000,init_010110,init_111100,init_011001,init_110011,init_001100,init_011000,init_110001,init_100011,init_000110,init_000111,init_001111,init_011111,init_111111,init_111110,init_100101,init_101011,init_101100,init_010001,init_100010,init_100111,init_001001,init_010010,init_111000,init_110000,init_000011,init_100001,init_111010,init_001010,init_000100,init_011101,init_001110,init_010101
0,0,0.0625,0.13942307692307693,0.06438631790744467,0.09057301293900184,0.08634538152610442,0.08951965065502183,0.13902439024390245,0.14058355437665782,0.1894273127753304,0.10526315789473684,0.1583710407239819,0.1809775429326288,0.1487603305785124,0.13238289205702647,0.1652892561983471,0.141280353200883,0.11021505376344086,0.18714555765595464,0.1952141057934509,0.23333333333333334,0.23050058207217694,0.24727755644090305,0.20986169573060734,0.2333965844402277,0.17535545023696683,0.1349911190053286,0.1185682326621924,0.16707021791767554,0.18088737201365188,0.16299559471365638,0.15051903114186851,0.19148936170212766,0.2308188265635074,0.14757281553398058,0.15873015873015872,0.12173913043478261,0.12253829321663019,0.18685121107266436,0.2161214953271028,0.13636363636363635,0.13321492007104796,0.18863361547763,0.11800302571860817,0.09042553191489362,0.08172362555720654,0.03547133138969873,0.12103746397694524,0.13453815261044177,0.10178117048346055,0.17025089605734767,0.15897435897435896,0.18584070796460178,0.13606911447084233,0.18218623481781376,0.1878453038674033,0.19148936170212766,0.2201195219123506,0.16792249730893433,0.20187793427230047,0.13973799126637554,0.16793893129770993,0.23517786561264822,0.13399503722084366,0.15478260869565216,0.14192139737991266
1,1,0.25,0.2668269230769231,0.18913480885311873,0.2698706099815157,0.24899598393574301,0.17903930131004367,0.3024390243902439,0.2864721485411141,0.3039647577092511,0.30526315789473685,0.3416289592760181,0.3579920739762219,0.33264462809917356,0.3258655804480652,0.34917355371900827,0.3002207505518764,0.25,0.32136105860113423,0.36272040302267006,0.37435897435897436,0.3637951105937136,0.3922974767596281,0.3415514131088394,0.3428209993674889,0.31635071090047395,0.30905861456483125,0.2930648769574944,0.288135593220339,0.33788395904436863,0.2577092511013216,0.3356401384083045,0.36545682102628285,0.36105738233397805,0.34563106796116505,0.32451499118165783,0.3147826086956522,0.3150984682713348,0.31141868512110726,0.3317757009345794,0.3374125874125874,0.2557726465364121,0.31438935912938326,0.29954614220877457,0.23936170212765956,0.19910846953937592,0.1185617103984451,0.24783861671469742,0.2991967871485943,0.33333333333333337,0.3279569892473118,0.32692307692307687,0.32869785082174463,0.2526997840172786,0.31713900134952766,0.35911602209944754,0.3177304964539007,0.3426294820717131,0.2938643702906351,0.32981220657276994,0.29912663755458513,0.33842239185750633,0.3583662714097497,0.2456575682382134,0.3356521739130435,0.29257641921397376
2,2,0.375,0.35096153846153844,0.28973843058350096,0.27171903881700554,0.24899598393574296,0.2751091703056769,0.2902439024390244,0.26525198938992045,0.29735682819383263,0.36578947368421055,0.31221719457013575,0.29326287978863935,0.33884297520661155,0.2830957230142566,0.2892561983471075,0.33554083885209707,0.34139784946236557,0.3175803402646503,0.27833753148614615,0.25897435897435894,0.26135040745052385,0.24754316069057108,0.2736019242333133,0.27640733712839977,0.2997630331753554,0.30905861456483125,0.2751677852348993,0.29539951573849876,0.295221843003413,0.3436123348017621,0.2785467128027681,0.28660826032540676,0.25983236621534495,0.28932038834951457,0.2751322751322751,0.3373913043478261,0.2647702407002189,0.3264129181084198,0.3025700934579439,0.284965034965035,0.3339253996447602,0.2974607013301088,0.30257186081694404,0.29255319148936165,0.2526002971768202,0.17978620019436345,0.3242074927953891,0.3473895582329317,0.30788804071246817,0.27956989247311825,0.3076923076923077,0.3059418457648546,0.27213822894168466,0.2995951417004048,0.29419889502762425,0.2907801418439716,0.2778884462151394,0.30678148546824546,0.2805164319248826,0.32532751091703055,0.29898218829516543,0.26943346508563903,0.3548387096774194,0.3095652173913043,0.31659388646288206
3,3,0.25,0.1706730769230769,0.2233400402414487,0.21626617375231053,0.22891566265060243,0.24890829694323147,0.18048780487804877,0.21485411140583555,0.1762114537444934,0.1763157894736842,0.1583710407239819,0.13870541611624834,0.13016528925619836,0.18329938900203666,0.16115702479338842,0.16335540838852097,0.1989247311827957,0.1379962192816635,0.12846347607052896,0.11282051282051282,0.11757857974388825,0.09535192563081009,0.13469633193024655,0.12333965844402277,0.15995260663507108,0.17584369449378331,0.21700223713646533,0.1864406779661017,0.1552901023890785,0.17841409691629956,0.1782006920415225,0.12015018773466833,0.12250161186331399,0.17281553398058253,0.19400352733686066,0.1634782608695652,0.2013129102844639,0.13725490196078433,0.12032710280373832,0.1765734265734266,0.21314387211367675,0.16324062877871828,0.17549167927382753,0.18971631205673758,0.20208023774145617,0.250242954324587,0.19596541786743518,0.1706827309236948,0.183206106870229,0.18100358422939067,0.16666666666666669,0.14412136536030343,0.19870410367170627,0.1565452091767881,0.13397790055248618,0.1475177304964539,0.12151394422310757,0.15823466092572658,0.13380281690140844,0.1834061135371179,0.15521628498727735,0.1126482213438735,0.16625310173697272,0.15130434782608698,0.17685589519650655
4,4,0.0625,0.07211538461538461,0.23340040241448692,0.15157116451016636,0.18674698795180722,0.2074235807860262,0.08780487804878048,0.09283819628647215,0.03303964757709251,0.04736842105263158,0.029411764705882353,0.02906208718626156,0.049586776859504134,0.07535641547861507,0.03512396694214876,0.059602649006622516,0.09946236559139784,0.035916824196597356,0.03526448362720403,0.020512820512820513,0.02677532013969732,0.01752988047808765,0.04028863499699339,0.02403542061986085,0.0485781990521327,0.07104795737122557,0.09619686800894854,0.06295399515738499,0.030716723549488054,0.05726872246696035,0.05709342560553633,0.03629536921151439,0.025789813023855575,0.04466019417475728,0.047619047619047616,0.06260869565217392,0.0962800875273523,0.03806228373702422,0.029205607476635514,0.06468531468531469,0.06394316163410302,0.036275695284159616,0.1043872919818457,0.1879432624113475,0.26448736998514116,0.4159378036929057,0.11095100864553314,0.04819277108433735,0.0737913486005089,0.04121863799283154,0.03974358974358974,0.035398230088495575,0.14038876889848811,0.044534412955465584,0.024861878453038673,0.0524822695035461,0.037848605577689244,0.07319698600645856,0.0539906103286385,0.05240174672489083,0.039440203562340966,0.024374176548089592,0.09925558312655088,0.04869565217391304,0.07205240174672489
