,#effective,C_prob,init_00101,init_01011,init_10111,init_01111,init_11111,init_11110,init_11101,init_11011,init_10110,init_01101,init_11010,init_10101,init_01010,init_10100,init_01000,init_10000,init_00000,init_00001,init_00011,init_00111,init_11100,init_11000,init_01110,init_01100,init_00110,init_01001,init_10011,init_00010,init_11001,init_10010,init_00100,init_10001
0,0,0.0078125,0.04750778816199377,0.035218783351120594,0.027809965237543453,0.022794846382556987,0.010869565217391304,0.029498525073746312,0.036281179138321996,0.02442002442002442,0.04241071428571429,0.037259615384615384,0.05417607223476298,0.03180212014134275,0.047933884297520664,0.06235011990407674,0.07494456762749446,0.07492795389048991,0.09608678806664084,0.07073684210526315,0.04928571428571429,0.04575786463298379,0.04114832535885168,0.06091718001368925,0.05519480519480519,0.06736526946107785,0.07154088050314465,0.05807002561912895,0.04988913525498891,0.07472527472527472,0.038662486938349006,0.05843621399176955,0.0776255707762557,0.05804953560371517
1,1,0.0546875,0.15109034267912771,0.1366061899679829,0.09965237543453072,0.0802775024777007,0.05112721417069243,0.12389380530973451,0.09410430839002266,0.11355311355311355,0.1439732142857143,0.12139423076923078,0.12189616252821671,0.12603062426383982,0.16033057851239668,0.16866506794564345,0.2066518847006652,0.2165500205846027,0.21755133669120497,0.192,0.13714285714285712,0.12488083889418494,0.16555023923444975,0.19233401779603013,0.1396103896103896,0.16991017964071856,0.1501572327044025,0.16652433817250212,0.1385809312638581,0.19032967032967035,0.14420062695924765,0.16707818930041154,0.2004566210045662,0.14473684210526316
2,2,0.1640625,0.24221183800623053,0.2230522945570971,0.1668597914252607,0.15758176412289396,0.09903381642512075,0.2055063913470993,0.20634920634920634,0.16849816849816854,0.2310267857142857,0.2199519230769231,0.23363431151241537,0.2661955241460542,0.26280991735537185,0.2517985611510792,0.25011086474501115,0.26183614656237125,0.2731499418829911,0.23915789473684215,0.23214285714285712,0.20114394661582455,0.2516746411483254,0.24024640657084192,0.23376623376623373,0.2290419161676647,0.23270440251572325,0.24338172502134922,0.20953436807095346,0.2549450549450549,0.22884012539184953,0.25267489711934155,0.26210045662100456,0.22832817337461297
3,3,0.2734375,0.24143302180685358,0.20704375667022415,0.18308227114716097,0.2160555004955401,0.13566827697262476,0.2202556538839725,0.20068027210884357,0.19413919413919412,0.22321428571428578,0.26081730769230765,0.26072234762979696,0.22968197879858657,0.25206611570247933,0.25099920063948844,0.21906873614190694,0.20955125566076574,0.2146454862456412,0.22694736842105265,0.2542857142857143,0.21544327931363202,0.20956937799043057,0.23203285420944558,0.23484848484848486,0.24775449101796404,0.2602201257861635,0.23996584116140043,0.2261640798226165,0.2228571428571429,0.23406478578892373,0.2559670781893005,0.22602739726027396,0.24922600619195046
4,4,0.2734375,0.17445482866043613,0.2049092849519744,0.19351100811123978,0.18533201189296333,0.16626409017713364,0.18387413962635196,0.18367346938775506,0.18803418803418798,0.18749999999999997,0.17908653846153844,0.1817155756207675,0.18492343934040045,0.15867768595041323,0.15587529976019182,0.15787139689578716,0.14820913956360643,0.1255327392483534,0.15621052631578947,0.17,0.18970448045757865,0.16842105263157892,0.15126625598904858,0.1525974025974026,0.15344311377245506,0.15487421383647798,0.17250213492741245,0.1796008869179601,0.15384615384615385,0.17136886102403343,0.14814814814814814,0.14703196347031963,0.18034055727554177
5,5,0.1640625,0.09190031152647975,0.112059765208111,0.1691772885283893,0.132804757185332,0.15901771336553946,0.12979351032448377,0.13832199546485258,0.1514041514041514,0.10714285714285712,0.10336538461538464,0.08803611738148986,0.09776207302709068,0.08677685950413222,0.07833733013589127,0.0687361419068736,0.06093042404281596,0.052305308020147226,0.07536842105263156,0.08928571428571433,0.08960915157292659,0.10622009569377991,0.08213552361396301,0.10714285714285715,0.09056886227544908,0.08490566037735849,0.071733561058924,0.09534368070953439,0.06901098901098902,0.109717868338558,0.08230452674897121,0.05799086757990867,0.08823529411764705
6,6,0.0546875,0.03894080996884735,0.054429028815368194,0.08458864426419468,0.1110009910802775,0.16586151368760066,0.06489675516224189,0.07936507936507936,0.0879120879120879,0.044642857142857144,0.04567307692307692,0.04966139954853273,0.048292108362779744,0.0256198347107438,0.023181454836131092,0.01818181818181818,0.02223137093454096,0.01588531576908175,0.02947368421052632,0.04428571428571428,0.07626310772163966,0.04210526315789473,0.030800821355236138,0.05411255411255412,0.029940119760479042,0.0330188679245283,0.029035012809564477,0.05543237250554324,0.02637362637362637,0.04284221525600836,0.03209876543209877,0.021917808219178082,0.03560371517027864
7,7,0.0078125,0.012461059190031152,0.026680896478121666,0.07531865585168018,0.09415262636273539,0.21215780998389694,0.04228121927236971,0.061224489795918366,0.07203907203907203,0.020089285714285716,0.03245192307692308,0.010158013544018058,0.015312131919905771,0.005785123966942148,0.008792965627498001,0.004434589800443459,0.005763688760806916,0.0048430840759395586,0.010105263157894737,0.023571428571428573,0.057197330791229746,0.015311004784688996,0.01026694045174538,0.022727272727272728,0.011976047904191617,0.012578616352201259,0.018787361229718188,0.045454545454545456,0.007912087912087912,0.030303030303030304,0.0032921810699588477,0.00684931506849315,0.015479876160990712
